OrderID,OrderDate,ProductID,RegionID,CustomerID,Quantity,UnitPrice,Discount,SalesAmount,COGS,Profit
SO00820,2023-01-07,P008,R03,C0099,1,299.00,0.00,299.00,95.00,204.00
SO01049,2023-01-07,P020,R05,C0013,4,29.00,0.05,110.20,32.00,78.20
SO02056,2023-01-07,P003,R05,C0101,8,1199.00,0.05,9112.40,5120.00,3992.40
SO01407,2023-01-08,P014,R05,C0120,1,499.00,0.00,499.00,180.00,319.00
SO02543,2023-01-08,P004,R02,C0109,2,1899.00,0.05,3608.10,1960.00,1648.10
SO03664,2023-01-08,P007,R03,C0039,1,129.00,0.15,109.65,42.00,67.65
SO03771,2023-01-08,P010,R05,C0120,1,69.00,0.00,69.00,22.00,47.00
SO01082,2023-01-09,P006,R07,C0004,2,179.00,0.00,358.00,110.00,248.00
SO01349,2023-01-09,P016,R05,C0166,2,95.00,0.05,180.50,60.00,120.50
SO03160,2023-01-09,P011,R04,C0140,5,39.00,0.00,195.00,60.00,135.00
SO00899,2023-01-10,P002,R02,C0103,2,399.00,0.00,798.00,360.00,438.00
SO00942,2023-01-10,P017,R07,C0074,3,199.00,0.10,537.30,195.00,342.30
SO01035,2023-01-10,P010,R02,C0043,3,69.00,0.05,196.65,66.00,130.65
SO03531,2023-01-10,P011,R04,C0078,1,39.00,0.15,33.15,12.00,21.15
SO03656,2023-01-10,P002,R03,C0173,3,399.00,0.00,1197.00,540.00,657.00
SO00685,2023-01-11,P019,R01,C0071,1,79.00,0.00,79.00,24.00,55.00
SO01570,2023-01-11,P015,R03,C0160,4,119.00,0.00,476.00,152.00,324.00
SO01766,2023-01-11,P007,R07,C0141,3,129.00,0.05,367.65,126.00,241.65
SO02150,2023-01-11,P014,R08,C0040,1,499.00,0.00,499.00,180.00,319.00
SO01881,2023-01-12,P013,R04,C0114,3,329.00,0.20,789.60,330.00,459.60
SO02001,2023-01-12,P001,R06,C0144,2,699.00,0.00,1398.00,640.00,758.00
SO03358,2023-01-12,P017,R02,C0072,3,199.00,0.05,567.15,195.00,372.15
SO01277,2023-01-13,P003,R05,C0167,1,1199.00,0.00,1199.00,640.00,559.00
SO02181,2023-01-13,P005,R04,C0020,1,89.00,0.05,84.55,28.00,56.55
SO03940,2023-01-13,P011,R06,C0157,8,39.00,0.00,312.00,96.00,216.00
SO01824,2023-01-14,P008,R02,C0010,1,299.00,0.00,299.00,95.00,204.00
SO01982,2023-01-14,P007,R02,C0024,8,129.00,0.10,928.80,336.00,592.80
SO02558,2023-01-14,P014,R08,C0133,1,499.00,0.05,474.05,180.00,294.05
SO01111,2023-01-15,P013,R07,C0155,1,329.00,0.15,279.65,110.00,169.65
SO01320,2023-01-15,P017,R01,C0016,2,199.00,0.00,398.00,130.00,268.00
SO02205,2023-01-15,P003,R06,C0036,2,1199.00,0.00,2398.00,1280.00,1118.00
SO02295,2023-01-15,P019,R04,C0060,4,79.00,0.00,316.00,96.00,220.00
SO02629,2023-01-15,P013,R02,C0171,1,329.00,0.00,329.00,110.00,219.00
SO00110,2023-01-16,P007,R03,C0019,5,129.00,0.00,645.00,210.00,435.00
SO00974,2023-01-16,P004,R03,C0159,1,1899.00,0.00,1899.00,980.00,919.00
SO01315,2023-01-16,P020,R02,C0167,1,29.00,0.05,27.55,8.00,19.55
SO01936,2023-01-16,P003,R08,C0001,5,1199.00,0.00,5995.00,3200.00,2795.00
SO03330,2023-01-17,P020,R05,C0175,1,29.00,0.00,29.00,8.00,21.00
SO03864,2023-01-17,P019,R01,C0019,1,79.00,0.00,79.00,24.00,55.00
SO02199,2023-01-18,P012,R06,C0020,1,49.00,0.15,41.65,14.00,27.65
SO03053,2023-01-18,P013,R02,C0156,1,329.00,0.15,279.65,110.00,169.65
SO00344,2023-01-20,P005,R02,C0073,1,89.00,0.00,89.00,28.00,61.00
SO00743,2023-01-20,P020,R04,C0051,5,29.00,0.10,130.50,40.00,90.50
SO01767,2023-01-20,P006,R02,C0077,2,179.00,0.15,304.30,110.00,194.30
SO02820,2023-01-20,P019,R04,C0145,4,79.00,0.00,316.00,96.00,220.00
SO01773,2023-01-21,P002,R01,C0018,1,399.00,0.20,319.20,180.00,139.20
SO02690,2023-01-21,P002,R07,C0040,3,399.00,0.00,1197.00,540.00,657.00
SO02857,2023-01-21,P010,R08,C0061,1,69.00,0.00,69.00,22.00,47.00
SO03156,2023-01-21,P006,R03,C0060,1,179.00,0.00,179.00,55.00,124.00
SO03180,2023-01-21,P013,R04,C0036,8,329.00,0.05,2500.40,880.00,1620.40
SO01326,2023-01-22,P017,R05,C0082,5,199.00,0.15,845.75,325.00,520.75
SO01830,2023-01-22,P003,R02,C0090,2,1199.00,0.00,2398.00,1280.00,1118.00
SO02368,2023-01-22,P003,R08,C0050,1,1199.00,0.20,959.20,640.00,319.20
SO02717,2023-01-22,P008,R06,C0065,1,299.00,0.00,299.00,95.00,204.00
SO02749,2023-01-22,P017,R02,C0009,4,199.00,0.00,796.00,260.00,536.00
SO03778,2023-01-22,P015,R01,C0029,1,119.00,0.00,119.00,38.00,81.00
SO00009,2023-01-23,P011,R06,C0152,1,39.00,0.10,35.10,12.00,23.10
SO00483,2023-01-23,P019,R08,C0164,4,79.00,0.05,300.20,96.00,204.20
SO01129,2023-01-23,P010,R08,C0165,2,69.00,0.00,138.00,44.00,94.00
SO01801,2023-01-23,P010,R02,C0032,4,69.00,0.20,220.80,88.00,132.80
SO00631,2023-01-24,P019,R05,C0126,8,79.00,0.00,632.00,192.00,440.00
SO01408,2023-01-24,P010,R07,C0145,3,69.00,0.00,207.00,66.00,141.00
SO03068,2023-01-24,P013,R01,C0101,1,329.00,0.10,296.10,110.00,186.10
SO03186,2023-01-24,P005,R05,C0059,3,89.00,0.00,267.00,84.00,183.00
SO03766,2023-01-24,P015,R08,C0055,3,119.00,0.00,357.00,114.00,243.00
SO00293,2023-01-25,P001,R05,C0035,2,699.00,0.10,1258.20,640.00,618.20
SO00299,2023-01-25,P018,R03,C0103,1,89.00,0.10,80.10,28.00,52.10
SO00301,2023-01-25,P008,R01,C0058,3,299.00,0.05,852.15,285.00,567.15
SO00387,2023-01-25,P017,R05,C0163,1,199.00,0.05,189.05,65.00,124.05
SO00968,2023-01-25,P005,R06,C0032,1,89.00,0.00,89.00,28.00,61.00
SO00995,2023-01-25,P015,R04,C0079,3,119.00,0.05,339.15,114.00,225.15
SO02246,2023-01-25,P005,R02,C0177,8,89.00,0.00,712.00,224.00,488.00
SO03594,2023-01-25,P008,R06,C0082,3,299.00,0.00,897.00,285.00,612.00
SO00462,2023-01-26,P009,R04,C0024,1,99.00,0.00,99.00,34.00,65.00
SO02510,2023-01-26,P001,R06,C0076,1,699.00,0.05,664.05,320.00,344.05
SO02945,2023-01-26,P014,R02,C0065,1,499.00,0.00,499.00,180.00,319.00
SO01375,2023-01-27,P001,R06,C0071,3,699.00,0.00,2097.00,960.00,1137.00
SO01812,2023-01-27,P018,R07,C0089,2,89.00,0.05,169.10,56.00,113.10
SO02646,2023-01-27,P018,R06,C0005,3,89.00,0.05,253.65,84.00,169.65
SO03523,2023-01-27,P014,R01,C0128,3,499.00,0.10,1347.30,540.00,807.30
SO00294,2023-01-28,P002,R08,C0023,1,399.00,0.00,399.00,180.00,219.00
SO00904,2023-01-28,P013,R03,C0002,4,329.00,0.10,1184.40,440.00,744.40
SO01262,2023-01-28,P011,R03,C0022,5,39.00,0.00,195.00,60.00,135.00
SO01427,2023-01-28,P018,R02,C0115,2,89.00,0.00,178.00,56.00,122.00
SO03380,2023-01-28,P018,R06,C0087,2,89.00,0.10,160.20,56.00,104.20
SO03792,2023-01-28,P019,R05,C0159,4,79.00,0.00,316.00,96.00,220.00
SO00539,2023-01-29,P015,R05,C0153,1,119.00,0.00,119.00,38.00,81.00
SO02512,2023-01-29,P016,R08,C0080,2,95.00,0.00,190.00,60.00,130.00
SO03157,2023-01-29,P015,R08,C0169,2,119.00,0.00,238.00,76.00,162.00
SO03343,2023-01-29,P008,R07,C0152,1,299.00,0.00,299.00,95.00,204.00
SO03451,2023-01-29,P018,R06,C0009,1,89.00,0.05,84.55,28.00,56.55
SO01029,2023-01-30,P019,R05,C0045,5,79.00,0.00,395.00,120.00,275.00
SO01540,2023-01-30,P003,R08,C0012,1,1199.00,0.05,1139.05,640.00,499.05
SO01874,2023-01-30,P016,R02,C0033,1,95.00,0.00,95.00,30.00,65.00
SO03225,2023-01-30,P013,R07,C0122,3,329.00,0.10,888.30,330.00,558.30
SO00049,2023-01-31,P016,R01,C0135,1,95.00,0.10,85.50,30.00,55.50
SO00206,2023-01-31,P018,R04,C0145,4,89.00,0.10,320.40,112.00,208.40
SO00445,2023-01-31,P009,R04,C0143,2,99.00,0.00,198.00,68.00,130.00
SO01134,2023-01-31,P006,R01,C0131,2,179.00,0.00,358.00,110.00,248.00
SO01515,2023-01-31,P006,R05,C0126,1,179.00,0.00,179.00,55.00,124.00
SO03138,2023-01-31,P017,R08,C0067,1,199.00,0.10,179.10,65.00,114.10
SO03774,2023-01-31,P004,R01,C0006,1,1899.00,0.00,1899.00,980.00,919.00
SO00954,2023-02-01,P009,R01,C0066,4,99.00,0.00,396.00,136.00,260.00
SO01010,2023-02-01,P012,R05,C0159,1,49.00,0.00,49.00,14.00,35.00
SO02579,2023-02-01,P019,R07,C0164,3,79.00,0.00,237.00,72.00,165.00
SO01246,2023-02-03,P001,R03,C0139,2,699.00,0.00,1398.00,640.00,758.00
SO01902,2023-02-03,P006,R08,C0115,1,179.00,0.00,179.00,55.00,124.00
SO00011,2023-02-04,P004,R07,C0170,2,1899.00,0.00,3798.00,1960.00,1838.00
SO03250,2023-02-04,P010,R06,C0105,3,69.00,0.20,165.60,66.00,99.60
SO03322,2023-02-05,P012,R06,C0146,12,49.00,0.00,588.00,168.00,420.00
SO00695,2023-02-06,P008,R02,C0062,3,299.00,0.10,807.30,285.00,522.30
SO01659,2023-02-06,P020,R01,C0008,1,29.00,0.05,27.55,8.00,19.55
SO02004,2023-02-06,P009,R03,C0047,3,99.00,0.10,267.30,102.00,165.30
SO03557,2023-02-07,P009,R04,C0049,2,99.00,0.05,188.10,68.00,120.10
SO00819,2023-02-08,P012,R07,C0066,1,49.00,0.00,49.00,14.00,35.00
SO02116,2023-02-08,P014,R06,C0157,1,499.00,0.00,499.00,180.00,319.00
SO02885,2023-02-08,P012,R02,C0102,3,49.00,0.10,132.30,42.00,90.30
SO02894,2023-02-08,P001,R03,C0112,1,699.00,0.00,699.00,320.00,379.00
SO03256,2023-02-08,P001,R04,C0179,1,699.00,0.10,629.10,320.00,309.10
SO03638,2023-02-08,P020,R06,C0022,1,29.00,0.20,23.20,8.00,15.20
SO01034,2023-02-09,P017,R06,C0126,3,199.00,0.05,567.15,195.00,372.15
SO01757,2023-02-09,P014,R02,C0143,1,499.00,0.10,449.10,180.00,269.10
SO03183,2023-02-09,P020,R05,C0055,1,29.00,0.10,26.10,8.00,18.10
SO01463,2023-02-10,P002,R07,C0037,3,399.00,0.00,1197.00,540.00,657.00
SO03428,2023-02-10,P006,R05,C0056,1,179.00,0.00,179.00,55.00,124.00
SO00759,2023-02-11,P002,R08,C0041,2,399.00,0.05,758.10,360.00,398.10
SO02443,2023-02-11,P012,R07,C0065,3,49.00,0.10,132.30,42.00,90.30
SO03332,2023-02-11,P002,R05,C0097,2,399.00,0.05,758.10,360.00,398.10
SO00692,2023-02-12,P005,R03,C0167,1,89.00,0.05,84.55,28.00,56.55
SO03244,2023-02-12,P002,R07,C0089,1,399.00,0.00,399.00,180.00,219.00
SO03414,2023-02-12,P007,R01,C0062,1,129.00,0.00,129.00,42.00,87.00
SO03764,2023-02-12,P002,R05,C0106,1,399.00,0.05,379.05,180.00,199.05
SO00702,2023-02-13,P010,R05,C0087,1,69.00,0.05,65.55,22.00,43.55
SO03733,2023-02-13,P010,R06,C0123,8,69.00,0.10,496.80,176.00,320.80
SO00149,2023-02-14,P012,R03,C0027,4,49.00,0.00,196.00,56.00,140.00
SO02595,2023-02-15,P015,R01,C0053,5,119.00,0.00,595.00,190.00,405.00
SO03065,2023-02-15,P004,R01,C0119,8,1899.00,0.00,15192.00,7840.00,7352.00
SO03562,2023-02-15,P020,R06,C0171,4,29.00,0.00,116.00,32.00,84.00
SO03831,2023-02-15,P010,R07,C0036,1,69.00,0.15,58.65,22.00,36.65
SO01272,2023-02-16,P013,R08,C0137,1,329.00,0.00,329.00,110.00,219.00
SO01756,2023-02-16,P020,R04,C0143,1,29.00,0.00,29.00,8.00,21.00
SO01920,2023-02-16,P002,R08,C0068,1,399.00,0.10,359.10,180.00,179.10
SO02100,2023-02-16,P001,R03,C0056,1,699.00,0.00,699.00,320.00,379.00
SO02445,2023-02-16,P013,R03,C0087,4,329.00,0.10,1184.40,440.00,744.40
SO02903,2023-02-16,P018,R07,C0169,2,89.00,0.10,160.20,56.00,104.20
SO00551,2023-02-17,P007,R01,C0149,1,129.00,0.15,109.65,42.00,67.65
SO01213,2023-02-17,P004,R03,C0086,8,1899.00,0.10,13672.80,7840.00,5832.80
SO01699,2023-02-17,P005,R02,C0110,2,89.00,0.00,178.00,56.00,122.00
SO03287,2023-02-17,P019,R06,C0170,3,79.00,0.00,237.00,72.00,165.00
SO01159,2023-02-18,P016,R08,C0160,2,95.00,0.10,171.00,60.00,111.00
SO03060,2023-02-18,P015,R03,C0031,2,119.00,0.00,238.00,76.00,162.00
SO03169,2023-02-18,P012,R01,C0055,2,49.00,0.00,98.00,28.00,70.00
SO00580,2023-02-19,P003,R03,C0130,3,1199.00,0.00,3597.00,1920.00,1677.00
SO02140,2023-02-19,P008,R07,C0027,5,299.00,0.00,1495.00,475.00,1020.00
SO02393,2023-02-19,P015,R01,C0042,1,119.00,0.00,119.00,38.00,81.00
SO02451,2023-02-19,P004,R03,C0142,3,1899.00,0.15,4842.45,2940.00,1902.45
SO02519,2023-02-19,P002,R05,C0038,12,399.00,0.00,4788.00,2160.00,2628.00
SO03923,2023-02-19,P017,R01,C0122,4,199.00,0.00,796.00,260.00,536.00
SO01123,2023-02-20,P007,R06,C0081,2,129.00,0.00,258.00,84.00,174.00
SO03507,2023-02-20,P010,R02,C0173,1,69.00,0.00,69.00,22.00,47.00
SO03633,2023-02-20,P001,R08,C0177,1,699.00,0.00,699.00,320.00,379.00
SO00259,2023-02-21,P004,R03,C0113,1,1899.00,0.00,1899.00,980.00,919.00
SO01685,2023-02-21,P005,R07,C0071,2,89.00,0.05,169.10,56.00,113.10
SO02254,2023-02-21,P009,R02,C0084,1,99.00,0.00,99.00,34.00,65.00
SO02597,2023-02-21,P010,R01,C0136,1,69.00,0.00,69.00,22.00,47.00
SO02769,2023-02-21,P009,R02,C0130,3,99.00,0.10,267.30,102.00,165.30
SO00116,2023-02-22,P005,R04,C0014,2,89.00,0.15,151.30,56.00,95.30
SO01296,2023-02-22,P013,R08,C0030,1,329.00,0.00,329.00,110.00,219.00
SO03518,2023-02-22,P012,R08,C0043,3,49.00,0.00,147.00,42.00,105.00
SO03702,2023-02-22,P002,R08,C0027,2,399.00,0.00,798.00,360.00,438.00
SO00129,2023-02-23,P006,R04,C0038,3,179.00,0.00,537.00,165.00,372.00
SO00713,2023-02-23,P007,R03,C0116,2,129.00,0.15,219.30,84.00,135.30
SO00776,2023-02-23,P006,R05,C0055,3,179.00,0.00,537.00,165.00,372.00
SO00862,2023-02-23,P008,R03,C0023,2,299.00,0.00,598.00,190.00,408.00
SO01429,2023-02-23,P009,R05,C0038,2,99.00,0.10,178.20,68.00,110.20
SO02016,2023-02-23,P015,R08,C0045,8,119.00,0.00,952.00,304.00,648.00
SO02620,2023-02-23,P018,R03,C0002,1,89.00,0.10,80.10,28.00,52.10
SO03301,2023-02-23,P019,R05,C0061,1,79.00,0.10,71.10,24.00,47.10
SO03626,2023-02-23,P018,R02,C0095,8,89.00,0.05,676.40,224.00,452.40
SO00193,2023-02-24,P014,R04,C0163,2,499.00,0.00,998.00,360.00,638.00
SO01239,2023-02-24,P012,R08,C0123,1,49.00,0.00,49.00,14.00,35.00
SO01373,2023-02-24,P017,R01,C0166,2,199.00,0.00,398.00,130.00,268.00
SO02560,2023-02-24,P012,R07,C0040,3,49.00,0.05,139.65,42.00,97.65
SO00375,2023-02-26,P004,R04,C0123,3,1899.00,0.00,5697.00,2940.00,2757.00
SO00910,2023-02-26,P004,R06,C0169,1,1899.00,0.00,1899.00,980.00,919.00
SO01789,2023-02-26,P014,R03,C0049,1,499.00,0.10,449.10,180.00,269.10
SO02835,2023-02-26,P005,R02,C0057,5,89.00,0.05,422.75,140.00,282.75
SO02876,2023-02-26,P017,R08,C0129,1,199.00,0.10,179.10,65.00,114.10
SO03467,2023-02-26,P007,R08,C0076,12,129.00,0.15,1315.80,504.00,811.80
SO03840,2023-02-26,P003,R05,C0038,2,1199.00,0.10,2158.20,1280.00,878.20
SO00261,2023-02-27,P001,R05,C0172,2,699.00,0.05,1328.10,640.00,688.10
SO00415,2023-02-27,P005,R07,C0180,4,89.00,0.00,356.00,112.00,244.00
SO01205,2023-02-27,P012,R02,C0112,2,49.00,0.05,93.10,28.00,65.10
SO01655,2023-02-27,P004,R07,C0038,1,1899.00,0.05,1804.05,980.00,824.05
SO00590,2023-02-28,P018,R08,C0146,12,89.00,0.00,1068.00,336.00,732.00
SO00641,2023-02-28,P020,R02,C0099,3,29.00,0.00,87.00,24.00,63.00
SO01397,2023-02-28,P005,R07,C0092,3,89.00,0.00,267.00,84.00,183.00
SO01502,2023-02-28,P019,R07,C0084,2,79.00,0.10,142.20,48.00,94.20
SO02746,2023-02-28,P008,R07,C0061,1,299.00,0.05,284.05,95.00,189.05
SO03710,2023-02-28,P012,R05,C0112,5,49.00,0.10,220.50,70.00,150.50
SO00488,2023-03-01,P020,R02,C0164,5,29.00,0.00,145.00,40.00,105.00
SO00847,2023-03-01,P013,R07,C0133,2,329.00,0.15,559.30,220.00,339.30
SO00897,2023-03-01,P004,R05,C0077,4,1899.00,0.00,7596.00,3920.00,3676.00
SO01317,2023-03-01,P014,R05,C0138,8,499.00,0.00,3992.00,1440.00,2552.00
SO01468,2023-03-01,P014,R06,C0074,2,499.00,0.00,998.00,360.00,638.00
SO01980,2023-03-01,P002,R02,C0116,1,399.00,0.05,379.05,180.00,199.05
SO02272,2023-03-01,P013,R06,C0169,2,329.00,0.00,658.00,220.00,438.00
SO03652,2023-03-01,P014,R08,C0074,4,499.00,0.10,1796.40,720.00,1076.40
SO03958,2023-03-01,P003,R07,C0127,2,1199.00,0.20,1918.40,1280.00,638.40
SO01778,2023-03-02,P014,R08,C0027,1,499.00,0.00,499.00,180.00,319.00
SO01898,2023-03-02,P015,R03,C0089,3,119.00,0.05,339.15,114.00,225.15
SO02076,2023-03-02,P020,R05,C0124,2,29.00,0.05,55.10,16.00,39.10
SO02373,2023-03-02,P002,R07,C0088,1,399.00,0.05,379.05,180.00,199.05
SO03356,2023-03-02,P018,R04,C0022,2,89.00,0.05,169.10,56.00,113.10
SO02455,2023-03-03,P012,R01,C0019,1,49.00,0.00,49.00,14.00,35.00
SO00029,2023-03-04,P002,R07,C0029,1,399.00,0.00,399.00,180.00,219.00
SO00752,2023-03-04,P005,R07,C0139,2,89.00,0.00,178.00,56.00,122.00
SO00930,2023-03-04,P003,R02,C0006,5,1199.00,0.00,5995.00,3200.00,2795.00
SO01321,2023-03-04,P007,R08,C0104,1,129.00,0.00,129.00,42.00,87.00
SO01556,2023-03-04,P015,R08,C0003,2,119.00,0.00,238.00,76.00,162.00
SO02279,2023-03-04,P018,R01,C0062,1,89.00,0.10,80.10,28.00,52.10
SO00500,2023-03-05,P002,R05,C0158,2,399.00,0.00,798.00,360.00,438.00
SO01180,2023-03-05,P011,R01,C0073,1,39.00,0.05,37.05,12.00,25.05
SO01508,2023-03-05,P005,R08,C0086,1,89.00,0.15,75.65,28.00,47.65
SO02245,2023-03-05,P017,R01,C0040,1,199.00,0.00,199.00,65.00,134.00
SO03312,2023-03-05,P012,R06,C0119,2,49.00,0.00,98.00,28.00,70.00
SO00020,2023-03-06,P019,R04,C0169,1,79.00,0.00,79.00,24.00,55.00
SO00252,2023-03-06,P009,R08,C0148,4,99.00,0.00,396.00,136.00,260.00
SO01236,2023-03-06,P003,R05,C0178,4,1199.00,0.00,4796.00,2560.00,2236.00
SO02124,2023-03-06,P001,R03,C0171,1,699.00,0.00,699.00,320.00,379.00
SO03379,2023-03-06,P004,R02,C0006,2,1899.00,0.05,3608.10,1960.00,1648.10
SO03871,2023-03-06,P006,R03,C0005,1,179.00,0.05,170.05,55.00,115.05
SO00683,2023-03-07,P017,R03,C0099,1,199.00,0.05,189.05,65.00,124.05
SO01215,2023-03-07,P013,R05,C0162,1,329.00,0.00,329.00,110.00,219.00
SO01440,2023-03-07,P002,R04,C0136,3,399.00,0.00,1197.00,540.00,657.00
SO01743,2023-03-07,P003,R02,C0106,3,1199.00,0.15,3057.45,1920.00,1137.45
SO02228,2023-03-07,P007,R01,C0172,2,129.00,0.20,206.40,84.00,122.40
SO00141,2023-03-08,P019,R04,C0150,1,79.00,0.00,79.00,24.00,55.00
SO01103,2023-03-08,P015,R08,C0057,1,119.00,0.00,119.00,38.00,81.00
SO01735,2023-03-08,P016,R01,C0048,3,95.00,0.00,285.00,90.00,195.00
SO03517,2023-03-08,P008,R04,C0179,1,299.00,0.00,299.00,95.00,204.00
SO03600,2023-03-08,P007,R02,C0110,1,129.00,0.05,122.55,42.00,80.55
SO03818,2023-03-08,P019,R07,C0036,8,79.00,0.00,632.00,192.00,440.00
SO00297,2023-03-09,P003,R04,C0148,4,1199.00,0.05,4556.20,2560.00,1996.20
SO00843,2023-03-09,P015,R01,C0154,2,119.00,0.15,202.30,76.00,126.30
SO01419,2023-03-09,P009,R04,C0082,1,99.00,0.00,99.00,34.00,65.00
SO01627,2023-03-09,P010,R04,C0135,2,69.00,0.10,124.20,44.00,80.20
SO02101,2023-03-09,P002,R07,C0023,1,399.00,0.10,359.10,180.00,179.10
SO00425,2023-03-10,P010,R05,C0163,2,69.00,0.00,138.00,44.00,94.00
SO00688,2023-03-10,P007,R02,C0171,3,129.00,0.00,387.00,126.00,261.00
SO00882,2023-03-10,P020,R08,C0101,4,29.00,0.00,116.00,32.00,84.00
SO01264,2023-03-10,P004,R05,C0029,1,1899.00,0.00,1899.00,980.00,919.00
SO01319,2023-03-10,P011,R08,C0103,3,39.00,0.00,117.00,36.00,81.00
SO01880,2023-03-10,P011,R03,C0126,2,39.00,0.00,78.00,24.00,54.00
SO02064,2023-03-10,P015,R06,C0180,1,119.00,0.00,119.00,38.00,81.00
SO02301,2023-03-10,P002,R04,C0060,3,399.00,0.05,1137.15,540.00,597.15
SO03618,2023-03-10,P007,R08,C0071,2,129.00,0.00,258.00,84.00,174.00
SO00015,2023-03-11,P011,R08,C0129,8,39.00,0.10,280.80,96.00,184.80
SO00078,2023-03-11,P007,R03,C0170,1,129.00,0.00,129.00,42.00,87.00
SO00288,2023-03-11,P007,R02,C0079,2,129.00,0.00,258.00,84.00,174.00
SO01445,2023-03-11,P015,R03,C0119,2,119.00,0.15,202.30,76.00,126.30
SO02710,2023-03-11,P016,R01,C0028,1,95.00,0.00,95.00,30.00,65.00
SO03912,2023-03-11,P016,R01,C0065,1,95.00,0.05,90.25,30.00,60.25
SO00188,2023-03-12,P011,R06,C0063,1,39.00,0.00,39.00,12.00,27.00
SO03288,2023-03-12,P003,R01,C0151,3,1199.00,0.00,3597.00,1920.00,1677.00
SO03422,2023-03-12,P009,R05,C0093,5,99.00,0.00,495.00,170.00,325.00
SO00801,2023-03-13,P002,R07,C0021,1,399.00,0.00,399.00,180.00,219.00
SO00824,2023-03-13,P003,R01,C0159,1,1199.00,0.05,1139.05,640.00,499.05
SO01304,2023-03-13,P017,R01,C0091,4,199.00,0.10,716.40,260.00,456.40
SO01866,2023-03-13,P015,R04,C0169,12,119.00,0.10,1285.20,456.00,829.20
SO02233,2023-03-13,P016,R07,C0058,1,95.00,0.05,90.25,30.00,60.25
SO02803,2023-03-13,P015,R05,C0047,2,119.00,0.00,238.00,76.00,162.00
SO03500,2023-03-13,P001,R03,C0117,5,699.00,0.00,3495.00,1600.00,1895.00
SO03595,2023-03-13,P018,R06,C0157,3,89.00,0.05,253.65,84.00,169.65
SO03987,2023-03-13,P019,R04,C0122,2,79.00,0.10,142.20,48.00,94.20
SO03018,2023-03-14,P006,R01,C0097,2,179.00,0.00,358.00,110.00,248.00
SO03642,2023-03-14,P014,R04,C0126,4,499.00,0.00,1996.00,720.00,1276.00
SO00330,2023-03-15,P010,R08,C0047,8,69.00,0.00,552.00,176.00,376.00
SO01353,2023-03-15,P009,R04,C0144,1,99.00,0.00,99.00,34.00,65.00
SO01568,2023-03-15,P009,R06,C0076,1,99.00,0.15,84.15,34.00,50.15
SO02665,2023-03-15,P002,R05,C0095,2,399.00,0.00,798.00,360.00,438.00
SO03235,2023-03-15,P018,R03,C0067,8,89.00,0.20,569.60,224.00,345.60
SO01473,2023-03-16,P013,R06,C0024,5,329.00,0.15,1398.25,550.00,848.25
SO03569,2023-03-16,P005,R08,C0077,2,89.00,0.05,169.10,56.00,113.10
SO00140,2023-03-17,P017,R08,C0098,2,199.00,0.00,398.00,130.00,268.00
SO01459,2023-03-17,P004,R07,C0054,2,1899.00,0.05,3608.10,1960.00,1648.10
SO02411,2023-03-17,P009,R02,C0088,2,99.00,0.05,188.10,68.00,120.10
SO02798,2023-03-17,P001,R06,C0108,1,699.00,0.20,559.20,320.00,239.20
SO03706,2023-03-17,P002,R02,C0092,3,399.00,0.00,1197.00,540.00,657.00
SO01196,2023-03-18,P010,R07,C0112,2,69.00,0.00,138.00,44.00,94.00
SO01297,2023-03-18,P008,R02,C0013,1,299.00,0.10,269.10,95.00,174.10
